category,arabic,english
welcome,مرحباً، جاهز أساعدك اليوم. قلّي وش تحتاج بالضبط؟,Welcome - ready when you are. What do you need exactly?
fast_offer,عندي باقة سريعة تخلّص خلال 24 ساعة. تبغى التفاصيل؟,I have a 24-hour turnaround package. Want the details?
order_confirm,استلمت طلبك. ببلّشك الحين وأرسلك التحديث أول ما يجهز.,Got your order. Starting now - I will update you when ready.
delivery,تم التسليم. راجع الملف وقلّي لو تبغى تعديل بسيط.,Delivered. Please review and tell me if you want a small tweak.
payment_followup,الحوالة وصلت؟ إذا لا، الآيبان جاهز وأرسل المنتج فوراً بعد التحويل.,Did the transfer go through? IBAN ready - product ships after payment.
review_ask,لو أعجبك الشغل، تقييمك يساعدني أوصل لعملاء مثلك.,"If you liked the work, a quick review helps me reach clients like you."
reorder,تبي نفس الباقة مرة ثانية؟ أعطيك خصم بسيط على الطلب الجاي.,Want the same package again? Small discount on the next one.
scope,أسعاري واضحة والنطاق مكتوب قبل البدء عشان ما يصير سوء تفاهم.,Pricing and scope are clear before we start - no surprises.
consult,تقدر تحجز استشارة 15 دقيقة مجانية لتحديد أنسب حل لمشروعك.,Book a free 15-min consult to pick the right fit for your project.
limited,اليوم فقط: تسليم مستعجل خلال نفس اليوم بسعر الباقة العادية.,Today only: same-day rush at the regular package price.
b2b,أشتغل مع أصحاب الأعمال على محتوى واتساب جاهز للبيع والمتابعة.,I help business owners with WhatsApp copy ready for sales and follow-up.
close,شكراً لثقتك. أي سؤال بعد التسليم خلال 48 ساعة مجاناً.,Thanks for trusting me. Free support questions for 48h after delivery.
